genus	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
psychrosphaera	0.0177268295565338139273790900	0.0269034167339252085014796900	0	0.0064290076826641807836960400	0.2083057796587752942732442800	0.0790081439163729184392852800	0.0029809813390568175043224200	0	0.1514776802275256584642018100	0.0119520721905160307168255300	0.2973240832507433102081268600	0.0160544567171846904700744900	0	0.0097895252080274106705824800	0	0	0.881100237344344376889813700	0	0.0137660460474240286333757800	0.0030271841133377732033662300	0	0
exiguobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991460645408897559727508200	0	0	0	0
erythrobacter	0	0	0	0.0257160307306567231347841500	0	0	0	0	0	0	0	0	0	0	0	0	0.0195077543323471079754202300	0	0.1858416216402243865505730100	0	0	0
pseudofulvibacter	0	0	0	0	0	0	0	0	0.0587362433535303573636700900	0	0	0	0	0	0	0	0	0	0	0	0	0
marinobacter	0.0029544715927556356545631800	0.0149463426299584491674887200	0	0	0.0595159370453643697923555100	0.0212714233621004011182691100	0	0	0.0525534808952640039569679700	0	0.0390425563864612427546025200	0.0481633701515540714102234800	0	0.0685266764561918746940773400	0	0.0106579508313201648429728600	0.0617745553857658419221640600	0	0	0	0	0
primorskyibacter	0	0	0	0	0	0	0	0	0	0	0	0.009632674030310814282044700	0	0.0032631750693424702235274900	0	0	0	0.0799565036620078677199603400	0	0	0	0
lentisphaera	0	0.0269034167339252085014796900	0	0	0.019838645681788123264118500	0.0060775495320286860337911800	0	0	0	0	0	0.224762394040585666581042900	0	0	0	0	0.0260103391097961439672269700	0	0	0	0	0
pelomonas	0	0	0	0	0	0	0	0	0.0061827624582663534067021100	0	0.0060065471363786527314773100	0.009632674030310814282044700	0	0	0	0.0319738524939604945289185700	0	0.0639652029296062941759682700	0.0172075575592800357917197200	0	0	0
empedobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0415773819042440912143793800	0	0	0	0
spirulina	0	0	0.0655093350802489354733049500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
enhydrobacter	0	0.0089678055779750695004932300	0	0	0	0	0	0.0031301843678592669108210500	0	0	0	0	0	0	0	0	0.0032512923887245179959033700	0	0	0	0.0619341138997847052231102700	0
