order	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
fusobacteriales	0.0029544715927556356545631800	0	0.0089330911473066730190870400	0	0.0066128818939293744213728300	0	61.288976331008167888869015680	0	0.129838011623593421540744400	0.3675262198583679445423850400	0.0090098207045679790972159700	0	0.0207333688762514069071737500	0	15.846409890632429862101759390	0	0	0	0	19.298298722528304171459708180	0.0619341138997847052231102700	0
oceanospirillales	98.21254468638284042898927527	95.82997040624159268227064837	98.84763124199743918053777209	84.51252049246198849207624803	33.752149186615527046686946170	94.11997082776224626230703780	0.0029809813390568175043224200	95.71164741603280433217516512	69.500432793372078644738469150	0.1972091911435145068276212400	88.83683214704027389854941887	94.66992036989468276393526843	99.60014217167229429536164919	54.726709087942568118779572520	0.0386352829291488349976224400	93.15759556629245417081142532	9.822154306336768865624085570	89.96066140019829212908177951	72.753553360635991327390990120	0.0181631046800266392201973700	0	0
gammaproteobacteria	0	0	0	0.0803625960333022597962004600	0	0.0698918196183298893885985200	0	0	0.0030913812291331767033510600	0	0	0	0	0	0	0	0	0	0.4955776577072650308015280300	0	0	0
pseudanabaenales	0	0	0.116130184914986749248131500	0	0	0	0	0	0	0	0	0	0	4.0920215369554576603034752800	0	0	0	0	0	0	0	0
mycoplasmatales	0	0	0	0	0.0363708504166115593175505900	0.0121550990640573720675823500	0	0	0.0896500556448621243971806600	0.0029880180476290076792063800	0.0961047541820584437036369600	0	0	0.0685266764561918746940773400	0	0	0	0	0	0.0030271841133377732033662300	0	0
chroococcales	0	0	0	0	0	0	0	0.0532131342536075374839578100	0	0	0	0	0	0	0	0	0.0292616314985206619631303400	0	0.1720755755928003579171972300	0	0	0
enterobacterales	0.0118178863710225426182527300	0.0119570741039667593339909700	0	0	0	0.0030387747660143430168955900	0	0.0062603687357185338216420900	0.1051069617905280079139359500	0	0	0.003210891343436938094014900	0	0	0	0.0035526502771067216143242900	0	0	0.0688302302371201431668788900	0	0.0737310879759341728846550900	9.926168990976210008203445450
entomoplasmatales	0	0	0	0	0	0.024310198128114744135164700	0	0.112686637242933608789557700	0.0154569061456658835167552900	0	0	0	0.014809549197322433505124100	0	0	0.0142106011084268864572971400	0	0.0127930405859212588351936500	0.0172075575592800357917197200	0	0	0
pelagibacterales	0	0.0298926852599168983349774300	0	0	0	0	0	0.0093905531035778007324631400	0	0	0	0	0	0	0	0.0497371038794941026005400	0	0.0639652029296062941759682700	0	0	0	0
bacillales	0.0295447159275563565456318100	0.0029892685259916898334977400	0.014888485245511121698478400	0.0932206113986306213635925300	0	0.0030387747660143430168955900	0	0.0532131342536075374839578100	0	0.0029880180476290076792063800	0	0.0513742614949910095042383800	0	0	0	0.2167116669035100184737814400	0.0032512923887245179959033700	0.0991460645408897559727508200	0.1651925525690883436005093400	0	0.1504114194709057126846963800	61.252392671588733934919332790
moraxellales	0.1299967500812479688007799800	0.3945834454309030580217020900	0.2858589167138135366107852200	2.0926420007071908450930598900	0.1620156064012696733236344400	0.7049957457153275799197763500	0	2.5354493379660061977650483600	0.0061827624582663534067021100	0.0239041443810320614336510600	0	1.4994862573850500899049576200	0.0059238196789289734020496400	0.2153695545766030347528144900	0	3.8901520534318601676850930800	0.9721364242286308807751081100	2.5650046374772123964563277600	6.4700416422892934576866159600	0	92.48237826997375173268056743	0.0068362045392398140552365300
hydrogenophilales	0	0	0	0	0	0	0	0.0939055310357780073246314200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rickettsiales	0	0	0.0923086085221689545305660600	0	0	0	0	0.2785864087394747550630732200	0	0	0	0	0	0	0	0	0	5.0052771292416925192695173800	0	0	0	0
caulobacterales	0	0	0	0	0	0.0091163242980430290506867600	0	0	0	0	0.0090098207045679790972159700	0	0	0	0	0	0.0292616314985206619631303400	0	0	0	0	0
spirochaetales	0	0	0.0476431527856355894351308700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytophagales	0	0	0.0476431527856355894351308700	0	0.0396772913635762465282370100	0.0182326485960860581013735300	0	0	0.0370965747495981204402126900	0.050796306809693130546508500	0	0	0	0	0	0.0284212022168537729145942900	0	0.1183356254197716442255413100	0	0	0	0
saprospirales	0.0413626022985788991638845400	0.0388604908378919678354706600	0	0	0.019838645681788123264118500	0.0091163242980430290506867600	0	0	0.0711017682700630641770743200	0	0	0.0160544567171846904700744900	0	0.1566324033284385707293196300	0	0.0746056558192411539008100	0.0975387716617355398771011500	0.0799565036620078677199603400	0.1996076676876484151839487900	0	0	0
