identity	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
bradyrhizobium lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1356652018757188781077653600	0
vibrio rumoiensis	0	0	0	0.0128580153653283615673920700	3.0253934664726887977780716800	0.0273489728941290871520602900	0.143087104274727240207476300	0	0	1.290823796575731317417157200	0	0	0	0.0195790504160548213411649500	0.011887779362815026153114600	0	0.0357642162759696979549370900	0	0	0.7234970030877277956045286700	0	0
bacillus megaterium	0.0029544715927556356545631800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5358217117856166256494394300
novosphingobium subarcticum	0.0059089431855112713091263600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0766803314949715398000412900	0
hyphomonas neptunium	0.0236357727420450852365054500	0.0508175649418587271694616300	0.0178661822946133460381740800	0.0160725192066604519592400900	0.0396772913635762465282370100	0.0364652971921721162027470500	0	0	0.5038951403487078026462223300	0.0029880180476290076792063800	0.0090098207045679790972159700	0.0288980220909324428461340900	0	0.1174743024963289280469897200	0	0	0.0552719706083168059303573200	0	0.1755170871046563650755411800	0	0	0
pseudomonadaceae	0	0.0029892685259916898334977400	0	0	0	0	0	0	0	0	0	0	0.0059238196789289734020496400	0.0065263501386849404470549800	0	0	0	0.0831547638084881824287587600	0	0	0	0
aeromonadaceae	0	0	0	0	0.482740378256844332760216900	0	0	0	0.0123655249165327068134042300	0.0806764872859832073385723200	0	0	0	0.0261054005547397617882199400	0.4606514503090822634331906800	0	0	0	0	0.1846582309136041654053399500	0	0
microbulbifer maritimus	0	0	0	0	0	0	0	0.0876451623000594735029893300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
marinobacteraceae	0	0.0089678055779750695004932300	0	0	0	0	0	0	0	0	0	0.009632674030310814282044700	0	0	0	0.0106579508313201648429728600	0.0292616314985206619631303400	0	0	0	0	0
eubacteriales family xii. incertae sedis	0.0088634147782669069636895400	0.0059785370519833796669954900	0	0.0610755729853097174451123500	29.582727152493056474011374160	0	0.0894294401717045251296726900	0	0.0927414368739953011005317200	3.9172916604416290674395673300	0	0.0931158489596712047264320600	0.0059238196789289734020496400	0.0097895252080274106705824800	0	0	0.2796111454303085476476899600	0	0.0722717417489761503252228400	5.1885935702609432705697160500	0	0
corynebacterium tuberculostearicum	0	0	0	0.0225015268893246327429361300	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191895608788818882527904800	0	0	0.0147462175951868345769310200	0
leptotrichia wadei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0619341138997847052231102700	0
algicola bacteriolytica	0	0.0179356111559501390009864600	0	0	0.0033064409469646872106864200	0.0121550990640573720675823500	0	0.0093905531035778007324631400	0.021639668603932236923457400	0	0.0060065471363786527314773100	0.0160544567171846904700744900	0	0	0	0.0071053005542134432286485700	0	0	0	0	0	0
endozoicomonas elysicola	0	0	0.0178661822946133460381740800	0	0	0.048620396256229488270329400	0	0.2629354869001784205089679800	0.0340051935204649437368616300	0	0	0	0.0385048279130383271133226700	0	0	0.0497371038794941026005400	0.0065025847774490359918067400	0	0	0	0	0
desulfobacteraceae	0	0	0	0	0.0264515275757174976854913400	0	0.0745245334764204376080605700	0	0.0030913812291331767033510600	0.0268921624286610691128574400	0	0	0	0	0	0	0.0032512923887245179959033700	0	0	0.0030271841133377732033662300	0	0
fluviicola	0	0.1404956207216094221743939300	0	0	0	0.0273489728941290871520602900	0	0	0	0	0	0	0	0	0	0.1065795083132016484297285800	0	0	0	0	0	0
marinobacterium jannaschii	0.0059089431855112713091263600	0.0149463426299584491674887200	0	0.0160725192066604519592400900	0.2810474804919984129083454600	0.0911632429804302905068676300	0	0	0.1978483986645233090144676600	0.0149400902381450383960319100	0.495540138751238850346878100	0.0834831749293603904443873600	0	0.1990536792298906836351770300	0.0029719448407037565382786500	0	1.5606203465877686380336183600	0	0.192724644663936400867260900	0.0030271841133377732033662300	0	0
