identity	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
thalassotalea thalassomonas loyana	0.1413344326011424533301925700	0.330514530728918532634587900	0	0.1131187135039285823473661700	0.4855491329479768786127167600	0.5177646848777004106409569700	0.0149049066952840875216121100	0	1.2329101562500	0.0328348407510223575415659200	3.8448899112717712783437397300	0.1582278481012658227848101300	0	0.0519177104289700824193653100	0.0059435364041604754829123300	0	17.864789463439953286186985010	0	0.1081994928148774302620456500	0.0211890059329216612180651400	0	0
flavobacteriaceae	0.0176668040751428066662740700	0.0208432586946164840400190600	0	0	0.0066061106523534269199009100	0.0089269773254775932869130500	0	0	0.0366210937500	0	0	0	0	0.0032448569018106301512103300	0	0.0563151143509683071050902600	0	0	0	0	0	0
deltaproteobacteria	0	0.0625297760838494521200571700	0	0	0	0.0208296137594477176694637900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neptuniibacter halophilus	0.0117778693834285377775160500	0	0	0.1131187135039285823473661700	3.127993393889347646573080100	0.0327322501934178420520145200	0.0029809813390568175043224200	0	1.705932617187500	0.1253693919584490015223426200	0.0955994383532996743644131100	0	0	1.9436692841845674605749886400	0	0	0.3763057159540647505352624400	0	0.3076923076923076923076923100	0.0090810025426807119505993500	0	0
ruegeria pomeroyi	0.0176668040751428066662740700	0.0297760838494521200571700800	0	0	0.0033030553261767134599504500	0.035707909301910373147652200	0	0	0	0.0029849855228202143219605400	0.0537746840737310668299823700	0.0746357774062574635777406300	0	0.0421831397235381919657343100	0.0029717682020802377414561700	0	0.1849088431843249205216375800	0	0	0	0	0
bacillus weihenstephanensis	0.0088334020375714033331370400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0412894092665231368154068500	0
oceanobacter kriegii	0	0	0	0.0305726252713320492830719400	0	0.0119026364339701243825507300	0	0	0	0	0	0	0	0.0032448569018106301512103300	0	0	0	0	0	0	0	0
vibrio fortis	0	0	0	0	0.4789430222956234516928158500	0.0208296137594477176694637900	0.0029809813390568175043224200	0	0	0.2656637115309990746544879300	0	0	0	0.0162242845090531507560516600	0.3179791976225854383358098100	0	0	0	0	0.1059450296646083060903257100	0	0
acinetobacter radioresistens	0	0	0	0	0	0	0	0	0	0	0	0	0.0059176850016273633754475200	0.0032448569018106301512103300	0	0	0	0.1097557151368810561635673700	0	0	0	0
marinifilum	0.0029444673458571344443790100	0.0238208670795616960457360600	0	0.0091717875813996147849215800	0.8026424442609413707679603600	0	1.3921182853395337745185715100	0	0.045776367187500	1.1760842959911644428524521700	0.0059749648970812296477758200	0.0149271554812514927155481300	0	0	0.5111441307578008915304606200	0.0281575571754841535525451300	0.5547265295529747615649127400	0	0.0439560439560439560439560400	0.4812931347620777333817653500	0	0
enterococcus faecalis	0	0	0	0	0	0	0	0	0.00610351562500	0	0	0	0.0118353700032547267508950500	0	0	0	0	0	0.0169061707523245984784446300	0	0	1.777413180202351654361498500
spongiibacter tropicus	0	0.0148880419247260600285850400	0	0.0214008376899324344981503600	0.0231213872832369942196531800	0	0	0	0.122070312500	0	0.0029874824485406148238879100	0.0089562932887508956293288800	0	0.0292037121162956713608929800	0	0.0563151143509683071050902600	0	0	0	0	0	0
polysiphonia scopulorum	0	0	0.2389098631429919773478055700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ferrimonas kyonanesis	0	0	0	0	0	0	0.0059619626781136350086448500	0	0	0.0059699710456404286439210800	0	0	0	0	0.4130757800891530460624071300	0	0	0	0	0	0	0
eurotiomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0688295842067390420173325400	0	0	0	0	0	0
maricaulis maris	0	0	0	0	0.0264244426094137076796036300	0.0029756591084925310956376800	0	0	0.076293945312500	0	0	0	0	0	0	0	0	0	0	0	0	0
rhodobacteraceae	0	0.0029776083849452120057170100	0	0	0.0099091659785301403798513600	0	0	0	0	0	0.0089624473456218444716637300	0.0149271554812514927155481300	0	0.0259588552144850412096826500	0	0	0.0162200739635372737299682100	0	0.0980557903634826711749788700	0	0	0
raoultella planticola	0.0117778693834285377775160500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3213016133442712605961170400
vibrio sinaloensis	0	0	0	0	0	0	0.0089429440171704525129672700	0	0	0.325363421987403361093698700	0	0	0	0	0.1604754829123328380386329900	0	0.0064880295854149094919872800	0	0	0.2028090567865359002300520600	0	0
salmonella enterica	0	0	0	0	0	0.0029756591084925310956376800	0	0.006129704548240774794654900	0	0	0	0.0029854310962502985431096300	0	0	0	0.0031286174639426837280605700	0	0	0.0676246830092983939137785300	0	0.0737310879759341728846550900	3.8932184850970741044572053600
oceanospirillaceae	0.0058889346917142688887580200	0.0029776083849452120057170100	0	0.0214008376899324344981503600	0.5483071841453344343517753900	0.0386835684104029042432898900	0	0	0.20141601562500	0	0.1105368505960027484838526600	0.0059708621925005970862192500	0	0.3569342591991693166331364800	0	0	0.0129760591708298189839745700	0.003135877575339458747530500	0.0371935756551141166525781900	0	0	0
flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2163755526984226535796042500	0	0	0	0
donghicola eburneus	0	0	0	0.0214008376899324344981503600	0.0033030553261767134599504500	0	0.0029809813390568175043224200	0.012259409096481549589309800	0.009155273437500	0	0	0	0	0	0	0	0.0227081035489521832219554900	0	0	0	0	0
caulobacterales	0	0	0	0	0	0.0089269773254775932869130500	0	0	0	0	0.0089624473456218444716637300	0	0	0	0	0	0.0291961331343670927139427800	0	0	0	0	0
alteromonas macleodii	0.1325010305635710499970555300	0.2709623630300142925202477400	0	0.2659818398605888287627258600	2.7085053674649050371593724200	1.5592453728500862941141462800	0.0029809813390568175043224200	0	4.907226562500	0.1701441748007522163517506900	1.9030263197203716428165984500	0.1522569859087652256985908800	0.0118353700032547267508950500	2.4693361022778895450710623700	0.0416047548291233283803863300	0.1032443763101085630259988100	4.904950366573671575942386300	0	2.1132713440405748098055790400	0.2088630584816563748637849600	0	0
stappiaceae	0	0	0.0029495044832468145351580900	0	0	0	0	0	0	0	0	0	0	0.1070802777597507949899409400	0	0	0	0	0	0	0	0
flammeovirga aprica	0	0	0	0	0.0231213872832369942196531800	0.017853954650955186573826100	0	0	0	0.0507447538879436434733291500	0	0	0	0	0	0.0250289397115414698244845600	0	0	0	0	0	0
halieaceae	0.0058889346917142688887580200	0	0.0383435582822085889570552100	0	0	0	0	0	0	0	0	0	0	1.3303913297423583619962359700	0	0	0	0	0	0	0	0
psychrobacter celer	0	0	0	0.0122290501085328197132287700	0	0	0	0	0	0	0	0	0	0	0	0	0.0032440147927074547459936400	0.0470381636300918812129574500	0	0	0	0
