class	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
oligoflexia	0	0	0	0.0206246317030053034767236300	0.0032988058322887114864419100	0.0264565818096301957787053900	0	0	0	0	0.0148694462618212097781478600	0	0	0	0	0	0	0	0	0	0	0
deinococci	0	0	0	0	0	0	0	0.0707130229817324690630524500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spirochaetia	0	0	0.0469290784302223265090631800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
conoidasida	0.017543346685769421946726700	0.0176330561025068328092397200	0	0.0883912787271655863288155600	0	0.0764301252278205655829266900	0	0.0530347672362993517972893300	0.2586466165413533834586466200	0	0.0148694462618212097781478600	0.2366207057723767235335358700	0.0290951411114343904567937200	0.0288295214299442629252354400	0	0.1411515614891489737105216700	0.051200	0.0916834260026026262865254900	0.1627700503107428233205090300	0	0	0
deltaproteobacteria	0.0029238911142949036577877800	0.0617156963587739148323390200	0.1877163137208893060362527100	8.073070123747790218031820860	0.0263904466583096918915352600	0.1587394908577811746722323500	0.0745245334764204376080605700	0.0648202710665880966411314100	0.0030075187969924812030075200	0.0268640678168467554175870100	0	0	0.2094850160023276112889147500	4.0008969184444871548465628800	0.011886366337810531320575300	0	0.070400	0.2839228676209629717260144300	0	0.1059450296646083060903257100	0	0
betaproteobacteria	0	0.0352661122050136656184794400	0.0205314718132222678477151400	0.0648202710665880966411314100	0.0131952233291548459457676300	0.0088188606032100652595684600	0	0.0530347672362993517972893300	0.0210526315789473684210526300	0	0.0089216677570927258668887200	0.0876372984342136013087169900	0	0.3331411365238003715804984300	0	0.1999647121096277127565723700	0.019200	0.2868803974920146693481604200	0.1568511393903521751997632400	0	3.8812044710531748606482437300	0.0034181022696199070276182700
methanobacteria	0	0	0	0.0147318797878609310548025900	0.0857689516395064986474896100	0	0	0	0.0932330827067669172932330800	0	0	0	0	0.2882952142994426292523544100	0	0	0	0	0	0	0	0
hydrogenophilalia	0	0	0	0	0	0	0	0.0883912787271655863288155600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
saprospiria	0.0409344756001286512090289800	0.038204954888764804420019400	0	0	0.0197928349937322689186514500	0.0088188606032100652595684600	0	0	0.0691729323308270676691729300	0	0	0.0146062164057022668847861600	0	0.1537574476263694022679223500	0	0.0617538081515026759983532300	0.09600	0.0739382467762924405536495900	0.171648416691328795501627700	0	0	0
mollicutes	0	0	0	0	0.0362868641551758263508609900	0.0352754424128402610382738600	0	0.1060695344725987035945786700	0.1022556390977443609022556400	0.0029848964240940839352874500	0.0951644560756557425801463200	0	0.0145475705557171952283968600	0.0672688833365366134922160300	0	0.0117626301240957478092101400	0	0.0118301194842067904885839300	0.0147972773009766203018644600	0.0030270008475602373168664500	0	0
cyanobacteria	0	0.0029388426837511388015399500	0.1847832463190004106294362600	0	0	0	0	0.1708898055391868002357100800	0	0	0	0.0204487029679831736387006300	0.0290951411114343904567937200	4.0201165993977833301300531700	0	0	0.028800	0.0739382467762924405536495900	0.1479727730097662030186445700	0	0	0
fragilariophyceae	0.0087716733428847109733633500	0.0029388426837511388015399500	0	0.0206246317030053034767236300	0	0	0	0.7395403653506187389510901600	0.0812030075187969924812030100	0	0	0	0	0.0192196809532961752834902900	0	0	0	0.5885484443392878268070507500	0	0	0	0
planctomycetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295752987105169762214598400	0	0	0	0
actinomycetia	0	0	0.005866134803777790813632900	0.0206246317030053034767236300	0	0	0	0.0618738951090159104301708900	0	0	0	0	0	0	0	0.0235252602481914956184202800	0	0.0384478883236720690878977900	0.1094998520272269902337969800	0	0.0383401657474857699000206400	0
