species	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
ruegeria mobilis	0.0292389111429490365778778400	0.449642930613924236635612900	0.0322637414207778494749809400	0.032410135533294048320565700	0.0461832816520419608101867100	0.0529131636192603915574107800	0.0029809813390568175043224200	0.0176782557454331172657631100	0.2646616541353383458646616500	0.0447734463614112590293116800	0.45203116635936477725569500	0.0379761626548258939004440300	0	0.2146197706451406239989749500	0.0089147747533578984904314800	0.0823384108686702346644709800	0.41600	0.035490358452620371465751800	0.103580941106836342113051200	0.0121080033902409492674657900	0	0
desulfovibrio gigas	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1345377666730732269844320600	0	0	0	0	0	0	0	0
cohaesibacter marisflavi	0	0.0235107414700091104123196300	0	0.0117855038302887448438420700	0	0	0.0059619626781136350086448500	0	0	0	0	0	0	0	0.0029715915844526328301438300	0	0.035200	0	0	0.0030270008475602373168664500	0	0
melittangium lichenicola	0.0029238911142949036577877800	0	0	0	0	0	0	0.0648202710665880966411314100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lewinella nigricans	0	0.0146942134187556940076997700	0	0	0	0	0	0	0.0661654135338345864661654100	0	0	0	0	0.0896918444487154846562880400	0	0	0.09600	0.0739382467762924405536495900	0.171648416691328795501627700	0	0	0
bradyrhizobium lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1356652018757188781077653600	0
fusibacter paucivorans	0.0087716733428847109733633500	0.0205718987862579716107796700	0	0.1090159104301708898055391900	29.66286204394009368608563700	0	0.1728969176652954152507005300	0	0.1654135338345864661654135300	9.151692436272461345591307980	0.0118955570094569678225182900	0.0905585417153540546856742200	0.0058190282222868780913587400	0.0864885642898327887757063200	0.0208011410911684298110067800	0	0.876800	0	0.171648416691328795501627700	5.2790894781450538806150865700	0	0
bacillus megaterium	0.0029238911142949036577877800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5358217117856166256494394300
novosphingobium subarcticum	0.0058477822285898073155755700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0766803314949715398000412900	0
hyphomonas neptunium	0.0233911289143592292623022700	0.0499603256237693596261792100	0.0175984044113333724408986900	0.0147318797878609310548025900	0.039585669987464537837302900	0.0352754424128402610382738600	0	0	0.4902255639097744360902255600	0.0029848964240940839352874500	0.0089216677570927258668887200	0.026291189530264080392615100	0	0.1153180857197770517009417600	0	0	0.054400	0	0.1509322284699615270790174600	0	0	0
portibacter lacus	0.0233911289143592292623022700	0.0205718987862579716107796700	0	0	0.0164940291614435574322095400	0.0088188606032100652595684600	0	0	0	0	0	0.0146062164057022668847861600	0	0	0	0.0617538081515026759983532300	0	0	0	0	0	0
acinetobacter radioresistens	0	0	0	0	0	0	0	0	0	0	0	0	0.0058190282222868780913587400	0.0032032801588826958805817200	0	0	0	0.1035135454868094167751094300	0	0	0	0
polymorphobacter sphingomonadaceae bacterium	0	0	0	0	0.0065976116645774229728838200	0	0	0	0	0	0.0208172247665496936894070100	0	0	0.0288295214299442629252354400	0	0	0.03200	0	0	0	0	0
