family	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
spongiibacteraceae	0	0.0149463426299584491674887200	0	0.0225051440329218106995884800	0.0231650009927857568336752900	0	0	0	0.1237738651483739208466132400	0	0.0030032735681893263657386600	0.009632674030310814282044700	0	0.0294550810014727540500736400	0	0.0639477049879209890578371500	0	0	0	0	0	0
rhodovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0556373752250040909834724300	0	0	0	0	0	0	0	0
sphingosinicellaceae	0	0	0	0	0.0066185717122245019524786600	0	0	0	0	0	0.0210229149773252845601705900	0	0	0.0294550810014727540500736400	0	0	0.0325129238872451799590337200	0	0	0	0	0
comamonadaceae	0	0	0.0029776970491022243396956800	0.0289351851851851851851851900	0.0033092858561122509762393300	0.0091163242980430290506867600	0	0	0.0061886932574186960423306600	0	0.0090098207045679790972159700	0.0160544567171846904700744900	0	0.2978235967926689576174112300	0	0.0817109563734545971294585800	0.0097538771661735539877101100	0.0639652029296062941759682700	0.1101283683793922290670062300	0	0.7019199575308933258619164200	0
enterobacteriaceae	0.0118178863710225426182527300	0.0119570741039667593339909700	0	0	0	0.0030387747660143430168955900	0	0.0062603687357185338216420900	0	0	0	0.003210891343436938094014900	0	0	0	0.0035526502771067216143242900	0	0	0.0688302302371201431668788900	0	0.0737310879759341728846550900	9.926168990976210008203445450
synechococcaceae	0	0.0029892685259916898334977400	0.0059553940982044486793913600	0	0	0	0	0.1283375590822299433436629400	0	0	0	0.0224762394040585666581042900	0.0296190983946448670102482100	0.0032727867779414171166748500	0	0	0	0.0799565036620078677199603400	0	0	0	0
corynebacteriaceae	0	0	0.0059553940982044486793913600	0.0225051440329218106995884800	0	0	0	0	0	0	0	0	0	0	0	0.0284212022168537729145942900	0	0.0415773819042440912143793800	0.1273359259386722648587259500	0	0.0383401657474857699000206400	0
piscirickettsiaceae	0.0059089431855112713091263600	0.1016351298837174543389232700	0	2.6620370370370370370370370400	6.4531074194188894036666887300	0	0	0	16.545471423708883869171024540	0.1912331550482564914692084700	0	0	0	24.248077237767959417443953530	0.9272467902995720399429386600	0	0	0	11.880097738926936710603296970	0.4207785917539504752679057900	0	0
moraxellaceae	0.1299967500812479688007799800	0.4035512510088781275221953200	0.2858589167138135366107852200	2.092978395061728395061728400	0.1621550069495002978357270500	0.7049957457153275799197763500	0	2.5385795223338654646758694100	0.0061886932574186960423306600	0.0239041443810320614336510600	0	1.4994862573850500899049576200	0.0059238196789289734020496400	0.2160039273441335297005400100	0	3.8901520534318601676850930800	0.9753877166173553987710114800	2.5650046374772123964563277600	6.4700416422892934576866159600	0	92.54431238387353643790367771	0.0068362045392398140552365300
yersiniaceae	0	0	0	0	0	0	0	0	0.1052077853761178327196212500	0	0	0	0	0	0	0	0	0	0	0	0	0
terasakiellaceae	0	0	0	0	0.0198557151366735058574359700	0	0	0	0.0340378129158028282328186400	0	0.0090098207045679790972159700	0	0	0.0163639338897070855833742400	0	0	0	0	0	0	0	0
kofleriaceae	0	0	0.1101747908167823005687401400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
