#OTU ID	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F
Zotu269	0	21	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu368	0	8	0	4	0	0	2	0	0	0	0	0	0	0	1	0	11	0	0	1	0	0
Zotu101	0	14	0	12	43	0	0	0	55	1	31	0	0	41	0	5	0	0	0	0	0	0
Zotu286	0	2	0	0	0	0	0	1	5	0	0	6	0	1	0	11	3	0	13	0	10	1
Zotu8	0	2	0	11	1143	0	23	0	38	3859	5	8	0	0	2511	0	1328	0	24	2835	1	0
Zotu289	0	7	0	2	6	2	0	0	2	0	8	0	0	4	0	0	0	0	0	0	0	0
Zotu202	0	5	0	0	0	0	0	15	4	0	0	2	9	3	0	0	0	9	0	0	0	0
Zotu267	0	4	0	2	30	1	1	9	5	0	2	0	0	0	0	0	6	0	1	0	0	0
Zotu366	0	5	0	0	0	1	0	0	0	0	1	6	0	2	0	0	0	0	0	0	0	0
Zotu151	0	8	0	2	17	18	0	0	25	0	67	0	0	22	0	1	2	0	1	0	0	0
Zotu380	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	3	9	0	0	0	0	0
Zotu140	0	1	2	0	0	0	0	41	0	0	0	7	10	1	0	0	0	25	0	0	0	0
Zotu391	0	6	0	0	1	4	0	3	7	0	2	5	0	0	0	2	0	0	0	0	0	0
Zotu57	0	4	4	4	2	1	0	17	0	1	0	12	0	0	0	37	9	8	42	0	540	0
Zotu27	0	5	0	18	45	0	28	0	25	1755	4	2	0	24	7	0	188	0	37	30	0	0
Zotu229	0	7	0	0	0	0	0	0	0	0	0	27	0	0	0	0	8	0	0	0	0	0
Zotu258	0	6	0	2	5	6	0	0	5	0	0	1	0	7	0	1	0	0	0	0	0	0
Zotu331	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	21	0
Zotu293	0	2	0	0	0	0	0	0	4	0	2	0	0	0	0	0	1	16	0	0	0	0
Zotu321	0	2	0	5	3	7	0	0	0	0	1	0	0	1	0	16	18	0	3	0	0	0
Zotu186	0	5	0	7	7	0	0	0	40	0	1	3	0	9	0	18	0	0	0	0	0	0
Zotu379	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu66	0	2	1	18	0	15	0	8	0	0	0	2	0	1	0	29	22	0	35	0	274	1
Zotu372	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	6	0	0	0
